N,CPU_Total,GPU_Total,GPU_Compute,GPU_Transfer,GPU_Bucket,GPU_Window,CPU_Bucket,CPU_Window,CPU_Final
64,116,3594,3559,35,1687,1872,36,73,7
128,182,2123,2102,21,35,2067,58,117,7
256,326,2214,2191,23,44,2147,142,177,7
512,590,1496,1470,26,52,1418,358,225,7
1024,1164,1534,1505,29,89,1416,891,266,7
2048,2155,1393,1347,46,108,1239,1874,274,7
4096,4256,1501,1410,91,174,1236,3990,259,7
8192,8516,1693,1561,132,323,1238,8250,259,7
16384,16781,1980,1755,225,523,1232,16520,253,8
